iter	Passed	Remaining
0	1	162
1	3	153
2	4	146
3	5	140
4	7	139
5	8	135
6	10	136
7	12	142
8	14	141
9	15	140
10	17	137
11	18	133
12	19	131
13	20	127
14	22	125
15	23	122
16	24	120
17	26	118
18	27	116
19	28	114
20	30	113
21	31	111
22	32	109
23	33	107
24	35	105
25	36	103
26	37	101
27	38	100
28	40	98
29	41	96
30	42	94
31	43	92
32	45	91
33	46	90
34	47	88
35	48	86
36	49	85
37	51	83
38	52	82
39	53	80
40	55	79
41	56	78
42	57	76
43	59	75
44	60	74
45	61	72
46	63	71
47	64	69
48	65	68
49	66	66
50	68	65
51	69	64
52	70	62
53	71	61
54	73	60
55	74	58
56	75	57
57	77	55
58	78	54
59	79	53
60	80	51
61	82	50
62	83	49
63	84	47
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	93	39
70	94	38
71	95	37
72	96	35
73	98	34
74	99	33
75	101	32
76	103	30
77	104	29
78	106	28
79	107	26
80	108	25
81	110	24
82	110	22
83	112	21
84	113	19
85	114	18
86	115	17
87	117	16
88	118	14
89	119	13
90	121	11
91	122	10
92	124	9
93	125	7
94	126	6
95	127	5
96	128	3
97	130	2
98	131	1
99	132	0
