iter	Passed	Remaining
0	128	128523
1	131	65651
2	132	44187
3	134	33517
4	136	27092
5	138	22935
6	140	19863
7	142	17670
8	145	15983
9	147	14581
10	148	13364
11	150	12352
12	152	11590
13	154	10875
14	155	10225
15	156	9654
16	158	9176
17	160	8743
18	161	8345
19	164	8046
20	166	7783
21	168	7481
22	171	7302
23	173	7046
24	174	6813
25	175	6591
26	177	6384
27	178	6192
28	180	6031
29	182	5902
30	184	5754
31	185	5612
32	186	5479
33	188	5353
34	189	5235
35	191	5116
36	192	5011
37	194	4921
38	195	4822
39	196	4726
40	198	4637
41	199	4551
42	200	4467
43	201	4387
44	203	4309
45	204	4234
46	205	4162
47	207	4115
48	208	4054
49	210	3991
50	211	3934
51	212	3874
52	213	3816
53	214	3760
54	215	3705
55	216	3654
56	217	3603
57	218	3556
58	220	3515
59	221	3476
60	223	3434
61	224	3393
62	225	3353
63	226	3311
64	227	3271
65	228	3231
66	229	3192
67	230	3155
68	231	3119
69	232	3084
70	233	3051
71	234	3018
72	235	2989
73	236	2961
74	237	2932
75	238	2903
76	239	2874
77	240	2845
78	241	2817
79	242	2790
80	243	2763
81	244	2737
82	245	2707
83	246	2685
84	247	2661
85	248	2637
86	249	2615
87	250	2596
88	251	2577
89	252	2557
90	254	2537
91	255	2519
92	256	2500
93	257	2481
94	258	2465
95	260	2448
96	261	2430
97	262	2411
98	262	2392
99	264	2376
100	265	2361
101	266	2344
102	267	2328
103	268	2311
104	269	2295
105	270	2278
106	271	2263
107	272	2247
108	273	2232
109	274	2219
110	275	2204
111	276	2189
112	277	2175
113	278	2160
114	279	2150
115	288	2201
116	289	2188
117	290	2174
118	291	2160
119	292	2146
120	293	2132
121	294	2120
122	296	2112
123	297	2101
124	298	2091
125	299	2080
126	300	2068
127	302	2059
128	303	2047
129	304	2035
130	305	2024
131	306	2013
132	307	2002
133	308	1990
134	309	1986
135	311	1977
136	312	1966
137	313	1956
138	314	1945
139	314	1934
140	315	1924
141	316	1912
142	317	1902
143	318	1892
144	319	1882
145	320	1873
146	321	1863
147	322	1854
148	323	1845
149	324	1838
150	325	1830
151	326	1821
152	327	1813
153	328	1804
154	329	1795
155	330	1786
156	331	1778
157	332	1769
158	333	1761
159	333	1753
160	334	1743
161	335	1735
162	336	1727
163	337	1720
164	339	1716
165	340	1709
166	341	1702
167	342	1695
168	343	1688
169	344	1681
170	345	1674
171	346	1667
172	347	1660
173	348	1653
174	349	1646
175	350	1639
176	351	1635
177	352	1630
178	354	1625
179	355	1619
180	356	1612
181	357	1606
182	358	1599
183	359	1592
184	360	1586
185	360	1579
186	361	1573
187	362	1566
188	363	1560
189	364	1554
190	365	1548
191	366	1543
192	367	1538
193	369	1534
194	370	1530
195	371	1524
196	372	1519
197	373	1513
198	374	1508
199	375	1502
200	376	1496
201	377	1491
202	378	1486
203	379	1482
204	381	1478
205	382	1475
206	384	1472
207	385	1468
208	387	1465
209	388	1461
210	389	1457
211	391	1453
212	392	1450
213	393	1446
214	394	1442
215	395	1436
216	397	1433
217	398	1430
218	400	1428
219	401	1424
220	402	1419
221	403	1414
222	404	1409
223	405	1405
224	406	1400
225	407	1395
226	408	1391
227	409	1387
228	410	1382
229	412	1380
230	413	1376
231	415	1375
232	416	1371
233	417	1366
234	418	1362
235	420	1360
236	421	1358
237	423	1355
238	424	1352
239	427	1354
240	429	1352
241	431	1350
242	432	1347
243	434	1345
244	436	1344
245	438	1342
246	439	1339
247	441	1338
248	443	1337
249	444	1334
250	446	1332
251	447	1328
252	449	1325
253	451	1324
254	452	1321
255	453	1318
256	455	1316
257	457	1314
258	458	1312
259	460	1310
260	462	1308
261	464	1307
262	465	1305
263	467	1302
264	468	1300
265	470	1297
266	472	1296
267	473	1293
268	475	1291
269	476	1289
270	478	1286
271	480	1284
272	482	1285
273	484	1282
274	487	1284
275	489	1283
276	490	1281
277	492	1278
278	494	1276
279	495	1274
280	497	1272
281	499	1271
282	500	1268
283	503	1268
284	504	1265
285	506	1263
286	507	1261
287	509	1258
288	511	1257
289	513	1256
290	514	1253
291	516	1252
292	518	1250
293	520	1249
294	521	1247
295	523	1244
296	524	1242
297	526	1240
298	528	1238
299	529	1236
300	531	1234
301	533	1232
302	534	1230
303	536	1228
304	537	1225
305	539	1223
306	540	1220
307	542	1218
308	543	1216
309	546	1215
310	547	1213
311	549	1211
312	550	1208
313	552	1206
314	553	1204
315	555	1201
316	556	1199
317	558	1197
318	560	1197
319	562	1196
320	564	1193
321	565	1191
322	567	1189
323	569	1188
324	571	1186
325	572	1184
326	574	1182
327	576	1180
328	578	1179
329	579	1176
330	580	1174
331	582	1172
332	583	1169
333	585	1167
334	587	1167
335	589	1165
336	592	1165
337	593	1163
338	595	1161
339	598	1160
340	599	1158
341	600	1156
342	602	1154
343	603	1151
344	605	1150
345	607	1147
346	609	1146
347	610	1144
348	613	1143
349	614	1141
350	616	1139
351	617	1137
352	619	1136
353	621	1133
354	623	1132
355	624	1130
356	626	1128
357	628	1127
358	630	1126
359	632	1124
360	633	1122
361	636	1122
362	639	1121
363	640	1119
364	642	1117
365	643	1114
366	644	1111
367	645	1109
368	647	1106
369	649	1105
370	650	1103
371	652	1101
372	653	1099
373	655	1096
374	656	1094
375	658	1092
376	659	1090
377	661	1088
378	662	1085
379	664	1084
380	666	1082
381	667	1080
382	669	1078
383	670	1076
384	672	1073
385	673	1071
386	674	1069
387	676	1066
388	677	1064
389	679	1062
390	680	1060
391	682	1058
392	684	1056
393	685	1054
394	686	1052
395	688	1049
396	689	1047
397	690	1045
398	692	1042
399	693	1040
400	695	1039
401	697	1037
402	698	1034
403	700	1032
404	701	1030
405	702	1027
406	704	1025
407	705	1023
408	707	1021
409	708	1020
410	710	1018
411	711	1016
412	713	1014
413	714	1011
414	716	1009
415	717	1007
416	718	1004
417	720	1002
418	721	1000
419	722	998
420	724	996
421	726	994
422	727	992
423	729	990
424	730	988
425	731	986
426	733	983
427	734	981
428	735	979
429	737	977
430	739	976
431	741	974
432	742	972
433	744	970
434	745	968
435	747	966
436	748	964
437	749	962
438	751	960
439	753	959
440	755	957
441	756	955
442	758	953
443	759	951
444	761	949
445	762	946
446	763	944
447	765	942
448	766	940
449	768	939
450	769	937
451	771	935
452	772	932
453	774	930
454	775	928
455	776	926
456	778	924
457	779	922
458	780	920
459	782	918
460	783	916
461	785	914
462	786	912
463	788	910
464	789	908
465	791	906
466	792	904
467	794	902
468	795	900
469	797	899
470	799	897
471	800	895
472	802	893
473	803	891
474	805	889
475	806	887
476	807	885
477	809	883
478	810	881
479	812	880
480	814	878
481	815	876
482	816	874
483	818	872
484	819	870
485	821	868
486	822	866
487	824	864
488	825	862
489	827	860
490	828	859
491	830	857
492	831	854
493	832	852
494	834	850
495	835	849
496	837	847
497	838	844
498	839	842
499	840	840
500	842	838
501	843	837
502	845	834
503	846	832
504	847	830
505	848	828
506	850	826
507	851	824
508	852	822
509	853	820
510	855	818
511	857	816
512	858	815
513	860	813
514	861	811
515	862	809
516	863	806
517	864	804
518	866	802
519	867	800
520	868	798
521	870	796
522	872	795
523	874	794
524	876	793
525	878	791
526	879	789
527	881	788
528	882	786
529	884	784
530	886	783
531	888	781
532	889	779
533	891	777
534	892	775
535	893	773
536	894	771
537	896	769
538	897	767
539	898	765
540	901	764
541	902	762
542	903	760
543	905	758
544	906	756
545	907	754
546	909	752
547	910	751
548	912	749
549	914	748
550	916	746
551	917	744
552	920	743
553	921	741
554	924	741
555	925	739
556	926	737
557	928	735
558	929	733
559	930	731
560	931	729
561	933	727
562	934	725
563	935	723
564	937	721
565	939	720
566	940	718
567	942	717
568	944	715
569	945	713
570	946	710
571	947	708
572	948	706
573	950	705
574	951	703
575	953	701
576	954	699
577	956	698
578	957	696
579	959	694
580	960	692
581	961	690
582	962	688
583	964	686
584	965	685
585	967	683
586	969	681
587	970	680
588	972	678
589	973	676
590	974	674
591	976	672
592	977	670
593	978	669
594	980	667
595	982	665
596	983	664
597	985	662
598	986	660
599	987	658
600	989	656
601	990	654
602	991	653
603	993	651
604	994	649
605	996	647
606	998	646
607	999	644
608	1000	642
609	1002	640
610	1003	638
611	1004	637
612	1006	635
613	1007	633
614	1009	631
615	1010	630
616	1012	628
617	1014	626
618	1015	624
619	1016	623
620	1019	621
621	1021	620
622	1023	619
623	1024	617
624	1025	615
625	1027	614
626	1029	612
627	1030	610
628	1031	608
629	1033	606
630	1034	605
631	1036	603
632	1037	601
633	1039	600
634	1041	598
635	1042	596
636	1044	594
637	1045	593
638	1046	591
639	1048	589
640	1049	587
641	1050	585
642	1052	584
643	1053	582
644	1055	581
645	1057	579
646	1058	577
647	1060	575
648	1061	574
649	1063	572
650	1064	570
651	1066	569
652	1067	567
653	1069	565
654	1070	564
655	1072	562
656	1073	560
657	1074	558
658	1076	556
659	1077	555
660	1078	553
661	1080	551
662	1081	549
663	1083	548
664	1085	547
665	1087	545
666	1089	543
667	1091	542
668	1093	540
669	1095	539
670	1097	538
671	1099	536
672	1101	535
673	1103	533
674	1105	532
675	1107	530
676	1109	529
677	1110	527
678	1113	526
679	1115	524
680	1117	523
681	1119	522
682	1122	520
683	1123	519
684	1125	517
685	1127	516
686	1129	514
687	1131	513
688	1133	511
689	1134	509
690	1136	508
691	1139	507
692	1141	505
693	1145	505
694	1148	503
695	1149	502
696	1150	500
697	1152	498
698	1153	496
699	1155	495
700	1156	493
701	1158	491
702	1160	490
703	1162	488
704	1163	486
705	1165	485
706	1166	483
707	1168	481
708	1170	480
709	1171	478
710	1173	476
711	1174	475
712	1176	473
713	1178	472
714	1180	470
715	1181	468
716	1183	467
717	1184	465
718	1186	463
719	1187	461
720	1188	460
721	1190	458
722	1191	456
723	1193	454
724	1194	452
725	1195	451
726	1196	449
727	1198	447
728	1199	445
729	1201	444
730	1202	442
731	1204	441
732	1206	439
733	1208	437
734	1209	436
735	1211	434
736	1212	432
737	1214	430
738	1215	429
739	1216	427
740	1218	425
741	1219	424
742	1221	422
743	1223	420
744	1225	419
745	1226	417
746	1228	416
747	1230	414
748	1231	412
749	1233	411
750	1235	409
751	1236	407
752	1238	406
753	1239	404
754	1241	402
755	1243	401
756	1244	399
757	1246	397
758	1248	396
759	1249	394
760	1252	393
761	1254	391
762	1255	390
763	1257	388
764	1259	386
765	1260	385
766	1262	383
767	1264	381
768	1266	380
769	1267	378
